ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
2021;12943/89;;Ango;;09276/86;05803/87;;;;0;26-05-1989;B1;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2022;12944/89;;Alette;;09276/86;05803/87;;;;0;26-05-1989;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2023;12947/86;;Von Ellinghaus Miro;;DBZB159842;09505/82;;;;0;21-04-1986;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2024;12949/86;;Von Ellinghaus Mireille;;DBZB159842;09505/82;;;;0;21-04-1986;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2025;12955/93;;Kaae Baloo´e von Firefly;;01493/87;19063/90;;;;0;11-05-1993;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2026;12956/93;;Kaae Bastl von Baron;;01493/87;19063/90;;;;0;11-05-1993;A2;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2027;12974/94;;Se-Ci Barrolo;;05783/89;03784/91;;;;0;18-05-1994;C1;;;;;0;H;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
2028;13005/96;;Hed´li Nala;;05783/89;24224/93;;;;0;20-05-1996;D;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;
2029;13006/97;;Bugsy;;26231/94;14203/95;;;;0;24-05-1997;C1;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2030;13007/96;;Hed´li Sisse;;05783/89;24224/93;;;;0;20-05-1996;A1;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;
2031;13012/96;;Hed´li Gorm;;05783/89;24224/93;;;;0;20-05-1996;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2032;13014/96;;Hed´li Viktor;;05783/89;24224/93;;;;0;20-05-1996;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2033;13018/93;;Rieckholm´s Tambo;;15536/87;06050/92;;;;0;21-05-1993;B1;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2034;13028/96;;Damkjær´s Frisco;;DBZB205121;19638/90;;AK, FP;;0;21-05-1996;B1;;;;09-07-2004;112,5899963;H;Tg/hv;1;AK;0;1;;;;;;;;;;;;;;;;21-08-2001
2035;13029/96;;Damkjær´s Frida;;LOSH710534;19638/90;;;;0;21-05-1996;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2036;13030/96;;Damkjærs Fallon;;DBZB205121;19638/90;;IPO-2;;0;21-05-1996;A2;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;
2037;13031/96;;Damkjær´s Fia;;LOSH710534;19638/90;;;;0;21-05-1996;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2038;DK13033/2008;2,76E+14;Ebony vom Schütting;;DBZB217794;DBZB222121;;;;0;30-03-2008;;;0 (DK);;;0;T;Tg/hv;0;;0;1;;;;;;;;;;;;;;;;22-07-2008
