ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
1;00022/82;;Vico v. Heideloh;;DBZB153988;DBZB154991;;;;0;11-06-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2;DK00031/2008;;Imine´s Aviola;;08770/2005;20011/2003;;AK, IPO-1, SPH-1, FP, IPO-VO, Stufe-1;;0;29-11-2007;C;;;0;29-08-2009;101;T;Rg;0;AK;1;0;;;;;;;;;;;;;;;;26-04-2009
3;DK00033/2008;c00033;Imine´s Alex;;08770/2005;20011/2003;;;;0;29-11-2007;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;08-07-2008
4;DK00034/2008;C00034;Imine´s Amos;;08770/2005;20011/2003;;;;0;29-11-2007;A;;;;29-08-2009;121;H;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;19-05-2008
5;DK00035/2008;c00035;Imine´s Anders;;08770/2005;20011/2003;DEVDHCH, DKCH, KBHVV'16;AK, FP,  KBHV'10, DKK-Racevinder-2011, KLBCH, Årets guldhund 2011 & 2013, Årets Bronzehund 2012, Veteranårsvinder 2016;;0;29-11-2007;A;;;0;01-03-2016;114;H;Rg/hv;;AK;1;0;;;;;;;;;;;;17-09-2016;;;;01-06-2008
6;00041/85;;Anzie´s Akim;;36244/83;12647/82;;;;0;16-11-1984;B1;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
7;00046/82;;Bonneie;;18494/77;26441/74;;;;0;14-12-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
8;00047/82;;Clyde;;18494/77;26441/74;;;;0;14-12-1981;;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
9;00050/2002;U00051;Tri-Ki Rikkie;;15858/98;02643/97;;AK, LP-1, LP-2, RALLY-B;;0;07-12-2001;A;0;0;0;13-11-2006;131,5599976;T;Rg/hv;1;AK;;1;;;;;;;;;;;;16-10-2013;;;;27-03-2002
10;00053/87;;Næsby Odette;;09502/82;14093/84;;;;0;12-12-1986;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
11;00054/83;;Leika;;03944/79;19911/78;;;;0;06-09-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
12;00054/87;;Næsby Okko;;09502/82;14093/84;;;;0;12-12-1986;B1;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
13;00055/87;;Næsby Orwin;;09502/82;14093/84;;;;0;12-12-1986;A2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
14;00057/2003;;Miss Moniq´s Chillie;;07625/2001;19189/99;;;;0;06-12-2002;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;22-01-2003
15;00057/87;;Næsby Odin;;09502/82;14093/84;;;;0;12-12-1986;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
16;00060/2003;V00059;Miss Moniq´s Corenlius;;07625/2001;19189/99;;;;0;06-12-2002;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;01-12-2003
17;00070/77;;Alexander;;03519/76;19518/75;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
18;00076/77;;Askepot;;03519/76;19518/75;;;;0;;1;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
19;DK00089/2008;2,08E+14;Rieckholms Jack Sparrow;;02563/2006;20360/2003;;;;0;13-11-2007;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;10-02-2008
20;DK00090/2008;;Rieckholms James Bond;;02563/2006;20360/2003;;;;0;13-11-2007;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;10-02-2008
21;DK00091/2008;;Rieckholms Jodie Fountain;;02563/2006;20360/2003;;;;0;13-11-2007;;;;;;0;T;Tg;0;;0;0;;;;;;;;;;;;;;;;10-02-2008
22;00095/78;;Boxerlunds Nasser;;01291/76;18099/73;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
23;00096/82;;Clay;;17526/78;14431/77;;;;0;05-11-1981;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
24;00097/82;;Beautylady;;17526/78;14431/77;;;;0;05-11-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
25;00101/99;;Hyberggaard´s Bobby;;00906/95;27056/94;;;;0;11-12-1998;;;;;;0;H;;0;;0;0;;;;;;;;;;;;;;;;
26;00105/79;;Boxerhusets Janus;;18494/77;06038/76;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
27;00108/79;;Boxerhusets Jewel Linka;;18494/77;06038/76;;;;0;;0;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
28;00121/85;;Dragon;;36244/83;01336/78;;;;0;10-11-1984;D1;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
29;00122/85;;Sunset;;36244/83;01336/78;;;;0;10-11-1984;C1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
30;00123/85;;Banja;;36244/83;01336/78;;;;0;10-11-1984;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
31;00134/97;;Adele;;00906/95;10255/94;;;;0;04-12-1996;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
32;00135/94;;Clamon´s Esco;;02772/87;14811/89;;;;0;05-12-1993;D2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
33;00136/86;;von Castenskjold Senta;;09502/82;09244/83;;;;0;23-08-1985;D2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
34;00137/86;;von Castenskjold Maja;;09502/82;09244/83;;;;0;23-08-1985;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
35;00138/95;;Bostobox Ali Pascha;;LOSH580967;06573/89;;;;0;06-12-1994;D2;;;;;0;H;Tg;0;AK;0;0;;;;;;;;;;;;;;;;
36;00139/95;;Bostobox Anubis;;LOSH580967;06573/89;;;;0;06-12-1994;A1;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
37;00140/97;;Aqua;;00906/95;10255/94;;;;0;04-12-1996;;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
38;00141/97;;Apollo;;00906/95;10255/94;;;;0;04-12-1996;B1;;;;;0;H;Rg/hv;0;AK;1;0;;;;;;;;;;;;;;;;
39;00144/2006;A00144;Da Vinci Roxy;;21323/2003;09844/2001;;AK;;0;05-12-2005;A;0;0;;01-04-2011;101;T;Rg/hv;0;AK;1;0;;;;;;;;;;;;;;;;26-08-2008
40;00145/2006;A00145;Da Vinci Ruby;;21323/2003;09844/2001;;;;0;05-12-2005;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;22-06-2006
41;00146/2006;A00146;Da Vinci Rita;;21323/2003;09844/2001;;;;0;05-12-2005;C;0;;4;01-05-2012;85;T;Rg;0;AK;1;0;;;;;;;;;;;;;;;;03-06-2007
42;00177/74;;Chatel;;UKENDT;UKENDT;;;;0;;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;24-03-2007
43;00179/74;;Carlo;;UKENDT;UKENDT;;;;0;;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;24-03-2007
44;00183/74;;Cæsar;;DBZB115917;26276/72;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
45;00184/2001;;Honeybox Indian Big Chief;;N09937/96;N10397/96;;;;0;07-10-2000;;;;;;0;H;;0;;0;0;;;;;;;;;;;;;;;;09-05-2002
46;00194/95;;Tri-Ki Lottie;;16976/92;12340/92;;;;0;25-11-1994;D2;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
47;00202/2002;;Se-Ci Juan-Carlos;;02245/95;18742/99;;;;0;14-12-2001;E;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;07-05-2003
48;00203/79;;Goldi v. Herforder Ring;;DBZB132665;DBZB131147;;;;0;;;;;;;0;T;;0;AK;0;0;;;;;;;;;;;;;;;;
49;00205/2002;;Se-Ci Jinka;;02245/95;18742/99;;AK;;0;14-12-2001;A;0;;;02-08-2008;116;T;Tg/hv;0;AK;1;0;;;;;;;;;;;;;;;;29-04-2003
50;00206/2002;;Se-Ci Josefine;;02245/95;18742/99;;;;0;14-12-2001;B;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;07-05-2003
51;00207/2002;;Se-Ci Juljetta;;02245/95;18742/99;;;;0;14-12-2001;A;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;07-05-2003
52;00209/2002;;Se-Ci Juljett;;02245/95;18742/99;;;;0;14-12-2002;C;;;;21-08-2006;95;T;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;27-01-2003
53;00241/2003;;Klabauterheims Dalina;;18463/97;16983/2000;;;;0;13-12-2002;A;;;;19-06-2006;109,2399979;T;Tg;0;AK;0;0;;;;;;;;;;;;;;;;19-04-2004
54;00242/2003;;Klabauterheims Daymon;;18463/97;16983/2000;;;;0;13-12-2002;B;;;;06-12-2004;97,31999969;H;Rg;0;;1;0;;;;;;;;;;;;;;;;02-09-2003
55;00274/99;;The Roligans Kikki-Sussi;;11741/97;18153/96;;;;0;02-12-1998;;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
56;00275/99;;The Roligans Kara-Putte;;11741/97;18153/96;;;;0;02-12-1998;A1;;;;;0;T;Rg;1;AK;0;0;;;;;;;;;;;;;;;;
57;00277/99;;The Roligans Krumme-Buller;;11741/97;18153/96;;;;0;02-12-1998;;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
58;00288/81;;Aggi;;DRU46138;DRU53230;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
59;00294/94;;Totters Kahlua;;15092/84;18329/90;;;;0;15-12-1993;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
60;00295/94;;Totters Kalule;;15092/84;18329/90;;;;0;15-12-1993;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
61;00306/96;;Sisu-Box´s Kato;;05783/89;28497/90;;;;0;16-12-1995;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
62;00307/2006;;Chabrinell´s Icon;;06387/96;01047/2003;;;;0;13-12-2005;;;;;;0;H;Rg/hv;0;;1;1;;;;;;;;;;;;;;;;16-08-2008
63;00308/2006;2,08E+14;Chabrinell´s Izeus;;06387/96;01047/2003;;;;0;13-12-2005;;;;;;0;H;Tg/hv;0;;0;1;;;;;;;;;;;;;;;;16-03-2006
64;00309/2006;2,08E+14;Chabrinell´s Immer;;06387/96;01047/2003;;AK, IPO-1, FP, Stufe-1;;0;13-12-2005;B;;0;;01-01-2013;105;T;Tg/hv;1;AK;;1;;;;;;;;;;;;02-05-2017;;;;30-05-2006
65;00309/96;;Sisu-Box´s Karlino;;05783/89;28497/90;;;;0;16-12-1995;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
66;00310/96;;Sisu-Box´s Karlo;;05783/89;28497/90;;;;0;16-12-1995;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
67;00311/96;;Sisu-Box´s Katje;;05783/89;28497/90;;;;0;16-12-1995;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
68;00314/86;;Dina;;02984/80;08915/84;;;;0;27-07-1985;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
69;00315/86;;Bessie;;02984/80;08915/84;;;;0;27-07-1985;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
70;00320/86;;Queen;;29160/79;06221/81;;;;0;04-08-1985;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
71;00324/98;;Totters Princess Pythia;;18331/90;00294/94;;;;0;18-12-1997;C1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
72;00337/86;;Loke;;19548/82;26863/84;;;;0;18-11-1985;B1;;;;;0;H;T;0;AK;0;0;;;;;;;;;;;;;;;;
73;00338/86;;Bello;;19548/82;26863/84;;;;0;18-11-1985;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
74;00339/86;;Trine;;19548/82;26863/84;;;;0;18-11-1985;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
75;00340/83;;Bine;;02280/79;32000/76;;;;0;15-09-1982;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
76;00354/86;;Von Ellinghaus Laroche;;09502/82;08789/84;DEVDHCH, DKCH, INTCH;KLBCH;;0;19-11-1985;A2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
77;00356/86;;Von Ellinghaus Lacoste;;09502/82;08789/84;;MULTICHAMPION., Angk., AD, VPG-1;;0;19-11-1985;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
78;00358/85;;Troica´s Bonnie;;DBZB166931;35070/80;DKCH;UHP;;0;20-12-1984;B1;;;;;0;T;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
79;00359/85;;Troica´s Biggi;;DBZB166931;35070/80;;BLP-2, LP-2;;0;20-12-1984;A2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
80;00375/2006;2,08E+14;Eunice Six-Er;;CKS/8383/02;CKS/7768/04;;AK, IPO-1;;0;23-03-2004;B;;;;01-04-2011;89;T;Tg/hv;1;AK;0;0;;;;;;;;;;;;;;;;28-05-2006
81;00377/81;;Gonzo;;14372/79;15619/77;;;;0;10-10-1980;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
82;00380/85;;Hemmings Ingo;;DBZB161 924;02739/78;;;;0;07-12-1984;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
83;00381/85;;Hemmings Ilona;;DBZB161924;02739/78;;;;0;07-12-1984;B2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
84;00391/2002;U00868;The Roligans Roxana;;LOSH753226;19679/98;;;;0;26-12-2001;A;;;;29-08-2004;125,1299973;H;Tg;0;;0;0;;;;;;;;;;;;;;;;26-02-2002
85;00391/2003;;Von Ellinghaus Dundee;;LOF111898;10879/95;;;;0;23-11-2002;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;16-02-2003
86;00394/2003;;Von Ellinghaus Dodo;;LOF111898/16565;10879/95;DEVDHCH;KLBSG, ZTP, AK, BH, UHP, IPO-1;;0;23-11-2002;B;;;;07-06-2008;101;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;18-01-2003
87;00405/2005;;Von Aska-Box Igor;;DBZB218869;12610/2002;;;;0;11-02-2005;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;11-08-2005
88;00448/97;;Box Wina Imine;;05137/93;10767/90;;;;0;02-12-1996;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
89;00451/97;;Box Wina I Am Lucky;;05137/93;10767/90;;;;0;02-12-1996;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
90;00483/80;;Claudius;;08577/78;26328/77;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
91;00487/2002;;Febæk`s Bounty;;13028/96;10225/98;;;;0;30-12-2002;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;09-09-2002
92;00489/2002;v13884;Febæk`s Beckham;;13028/96;10225/98;;;;0;30-12-2001;;;;;;0;T;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;09-09-2002
93;00489/2004;2,08E+14;Bilbo;;10266/2001;05258/2002;;;;0;11-12-2003;;;;;;0;H;Fejl;0;;0;0;;;;;;;;;;;;;;;;20-04-2004
94;00490/2004;2,08E+13;Castor;;10266/2001;05258/2002;;;;0;11-12-2003;;;;;;0;H;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;13-02-2004
95;00549/81;;Ruskajas Pan;;18494/77;21096/76;;;;0;05-12-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
96;00550/81;;Ruskajas Parsifal;;18494/77;21096/76;;;;0;05-12-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
97;00551/81;;Ruskajas Patrich;;18494/77;21096/76;;;;0;05-12-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
98;00552/79;;Klabauterheims Sepp;;28383/77;06410/76;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
99;00552/81;;Ruskajas Pax;;18494/77;21096/76;;;;0;05-12-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
100;00553/79;;Klabauterheims Sika;;28383/77;06410/76;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
101;00553/81;;Ruskajas Pauline;;18494/77;21096/76;;;;0;05-12-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
102;00554/79;;Klabauterheims Serza;;28383/77;06410/76;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
103;00554/81;;Ruskajas Pensi;;18494/77;21096/76;;;;0;05-12-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
104;00554/95;;Basil;;05783/89;13295/90;;;;0;07-12-1994;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
105;00586/01;;Balder;;19304/95;15514/98;;;;0;24-12-2000;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;28-12-2002
106;00588/01;;Ben;;19304/95;15514/98;;;;0;24-12-2000;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;28-12-2002
107;00589/2001;;Basil;;19304/95;15514/98;;;;0;24-12-2000;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;02-06-2002
108;00591/01;;Boston;;19304/95;15514/98;;;;0;24-12-2000;;;;;;0;H;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;28-12-2002
109;DK00594/2009;2,76E+14;Cyrus von Harif;;DBZB225009;DBZB224446;;;;0;20-07-2008;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;09-03-2009
110;00595/80;;Boxerhusets Line;;06445/69;02039/79;;;;0;14-12-1979;;;;;;0;T;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
111;00658/87;;Rieckholm´s Hera;;NHSB1299457;14869/85;;;;0;30-11-1986;A2;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
112;00659/87;;Rieckholm´s Hella;;NHSB1299457;14869/85;;ZTP;;0;30-11-1986;F;;;;;0;T;;1;AK;0;0;;;;;;;;;;;;;;;;
113;00707/85;;Næsby King;;DBZB161924;29862/81;;;;0;10-12-1984;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
114;00709/85;;Næsby Kia;;DBZB161924;29862/81;;;;0;10-12-1984;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
115;00718/2000;S01857;Von Ellinghaus Udine;;21532/95;DBZB206337;;AK, Bp-B, FP;;0;15-12-1999;A;0;;;13-03-2008;134;T;Rg/hv;1;AK;;0;;;;;;;;;;;;30-01-2013;;;;21-08-2001
116;00722/2000;;Von Ellinghaus Ulliette;;21532/95;DBZB206337;;;;0;15-12-1999;D;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;
117;00732/87;;Athos;;17101/80;00123/85;;;;0;05-11-1986;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
118;00792/99;;Wunderboxer Haute Couture;;N09937/96;N25262/95;;AK, Bp-B;;0;15-08-1998;A1;0;;;19-03-2007;136,9900055;H;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
119;00796/79;;Sanne;;16676/76;01084/76;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
120;00798/2005;Z00774;Aida;;19386/99;18176/2002;;;;0;08-01-2005;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;22-07-2006
121;00878/98;2084;Rodsted´s Ate;;09592/97;13443/93;;;;0;18-12-1997;B;;;;;0;T;Rg;0;AK;1;0;;;;;;;;;;;;;;;;
122;00879/2005;Z00855;Cacie´s Anane;;DBZB211286;11577/2002;;AK, UHP, Bp-AB, Bp-B, Stufe-1;;0;19-12-2004;A;0;;;01-07-2010;104;T;Rg/hv;0;AK;1;1;;;;;;;;;;;;;;;;12-02-2005
123;00879/98;2085;Rodsted´s Abbi;;09592/97;13443/93;;AK, Bp-ABC, Bp-AB, FP;;0;18-12-1997;A2;;;;25-05-2004;142,0599976;T;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
124;00880/2005;Z00856;Cacie´s Askja;;DBZB211286;11577/2002;;;;0;19-12-2004;A;0;;;29-05-2006;122,0899963;T;Rg/hv;0;AK;0;1;;;;;;;;;;;;;;;;12-02-2005
125;00881/2005;Z00857;Cacie´s Abu;;DBZB211286;11577/2002;;;;0;19-12-2004;E;;;;02-10-2006;90,08999634;H;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;12-02-2005
126;00882/2005;Z00858;Cacie´s Ajä;;DBZB211286;11577/2002;;;;0;19-12-2004;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;12-02-2005
127;00883/2005;Z00859;Cacie´s Asama;;DBZB211286;11577/2002;;;;0;19-12-2004;;;;;;0;T;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;12-02-2005
128;00884/2005;Z00860;Cacie´s Abajo;;DBZB211286;11577/2002;;;;0;19-12-2004;;;;;;0;H;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;12-02-2005
129;00885/2005;Z00861;Cacie´s Atna;;DBZB211286;11577/2002;;;;0;19-12-2004;;;;;;0;T;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;12-02-2005
130;00886/80;;Tessa;;23562/73;12002/77;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
131;00886/94;;Ronja van de Hazenberg;;LOSH580967;LOSH652061;;;;0;28-04-1993;E1;;;;;0;T;T;0;;0;0;;;;;;;;;;;;;;;;
132;00888/74;;Tobias;;06529/72;17284/73;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
133;00906/95;;Whatso´ever van Dommeldal;;NHSB1663159;NHSB1739382;;;;0;22-05-1994;B1;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
134;00907/96;;Boxtras Herman;;05783/89;18391/89;;;;0;23-12-1995;A2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
135;00930/80;;Brutus;;18494/77;18489/77;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
136;00931/80;;Baron;;18494/77;18489/77;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
137;00932/80;;Beauty;;18494/77;18489/77;;;;0;;0;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
138;00933/80;;Beta;;18494/77;18489/77;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
139;00934/2002;;The Roligans Rama Rubina;;LOSH753226;19679/98;;;;0;26-12-2001;;;;;;0;T;Tg;0;;0;0;;;;;;;;;;;;;;;;28-06-2002
140;00937/2002;;The Roligans Rozita;;LOSH753226;19679/98;;;;0;26-12-2001;B;;;;15-05-2006;106,0100021;T;Tg/hv;1;AK;0;0;;;;;;;;;;;;08-01-2013;;;;29-12-2002
141;00941/80;;Victoria;;03547/79;22291/75;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
142;00942/80;;Vikki;;03547/79;22291/75DAYSI;;;;0;;;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
143;00942/82;;Benlis Senno;;DBZB143999;09790/79;;;;0;06-12-1981;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
144;00943/82;;Benlis Saba;;DBZB143999;09790/79;;;;0;06-12-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
145;00960/2006;A00932;Kulmosen Boss von Stephan;;21285/2003;03402/2001;;;;0;25-12-2005;B;0;;;07-04-2008;101;H;Rg/hv;;;;0;;;;;;;;;;;;20-01-2013;;;;15-08-2006
146;00974/2001;;Spirgårdens Dina;;02245/95;22114/95;;;;0;29-12-2000;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;10-08-2002
147;00975/2001;;Spirgårdens Dana;;02245/95;22114/95;;;;0;29-12-2000;A;;;;;0;T;Tg/hv;1;AK;0;1;;;;;;;;;;;;;;;;01-04-2002
148;00976/2001;2,08E+14;Spirgårdens Diesel;;02245/95;22114/95;;;;0;29-12-2000;;;;;;0;H;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;10-08-2002
149;00977/2000;;Spirgårdens Devon;;02245/95;22114/95;;;;0;29-12-2000;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;10-08-2002
150;01021/2001;T02572;Rodsted´s Clyde;;21532/95;00879/98;;;;0;04-01-2001;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;27-03-2003
151;01021/91;;Brændemosen Æulas;;05494/88;26045/86;;;;0;27-11-1990;A2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
152;01022/2001;T02573;Rodsted´s Celine;;21532/95;00879/98;DEVDHCH, DKCH;BK-HVALPEÅrsvinder-2001, KLBCH, KBHV-2002, NORV-2004, KBHV-2006, RV-2006, RV-2004, UHP, Bp-AB, FP;;0;04-01-2001;A;;;;11-04-2005;134,6699982;T;Rg/hv;0;AK;1;1;;;;;;;;;;;;;;;;26-08-2002
153;01022/91;;Brændemosen Æneas;;05494/88;26045/86;;;;0;27-11-1990;B1;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
154;01023/2001;;Rodsted´s Chloe;;21532/95;00879/98;;;;0;04-01-2001;;;;;;0;T;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;14-05-2002
155;01046/2003;;Chabrinell´s Hother;;07625/2001;06025/96;;;;0;03-01-2003;;;;;;0;H;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;01-06-2003
156;01047/2003;;Chabrinell´s Hallie;;07625/2001;06025/96;;AK, Bp-B, FP;;0;03-01-2003;B;0;;;03-03-2008;107,0500031;T;Rg/hv;0;AK;1;1;;;;;;;;;;;;;;;;01-06-2003
157;01048/2003;;Chabrinell´s Holley;;07625/2001;06025/96;;;;0;03-01-2003;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;01-06-2003
